,batting_consistency,batting_form,batting_temp,batting_wind,batting_rain,batting_humidity,batting_cloud,batting_pressure,batting_viscosity,batting_inning,batting_session,toss,venue,opposition,runs_scored,balls_faced,fours_scored,sixes_scored,batting_position,batting_contribution,strike_rate,total_score,total_wickets,total_balls,target,extras,bowling_consistency,bowling_form,bowling_temp,bowling_wind,bowling_rain,bowling_humidity,bowling_cloud,bowling_pressure,bowling_viscosity,bowling_session,bowling_venue,bowling_opposition,runs_conceded,deliveries,bowling_contribution,economy,fielding_consistency
68,55.6003,43.7288,14,15,0,75,74,1024,3,2,0,1,35.9532,33.6222,0,0,0,0,10,0.0,0.0,119,1,92,119.0,9,441.988,19.0567,12.0,18.0,0.0,85.0,70.0,1026.0,2.0,0.0,18.8779,17.7583,16.0,6.0,0.134453781512605,16.0,0.892473
69,0.0,0.0,14,15,0,75,74,1024,3,2,0,1,0.2566,0.2238,0,0,0,0,10,0.0,0.0,119,1,92,119.0,9,58.5243,58.5243,12.0,18.0,0.0,85.0,70.0,1026.0,2.0,0.0,17.7668,16.4044,26.0,29.0,0.2184873949579832,5.38,0.0
70,19.7214,19.7214,14,15,0,75,74,1024,3,2,0,1,16.2746,19.7214,0,0,0,0,10,0.0,0.0,119,1,92,119.0,9,183.552,183.552,12.0,18.0,0.0,85.0,70.0,1026.0,2.0,0.0,15.2018,12.7384,21.0,36.0,0.1764705882352941,3.5,1.0
71,38.8512,38.8512,14,15,0,75,74,1024,3,2,0,1,29.4698,17.4876,0,0,0,0,10,0.0,0.0,119,1,92,119.0,9,413.386,17.9419,12.0,18.0,0.0,85.0,70.0,1026.0,2.0,0.0,24.2838,29.9097,12.0,24.0,0.1008403361344537,3.0,0.918367
72,62.9666,26.0915,22,8,0,38,3,1021,3,2,0,1,32.4928,29.9183,27,38,4,1,1,0.1,71.05,270,4,290,269.0,6,0.0,0.0,20.0,5.0,0.0,47.0,7.0,1023.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.740741
73,74.1419,45.9018,22,8,0,38,3,1021,3,2,0,1,65.3992,38.0494,21,19,4,0,2,0.0777777777777777,110.53,270,4,290,269.0,6,264.519,9.7462,20.0,5.0,0.0,47.0,7.0,1023.0,3.0,0.0,14.8218,51.7822,5.0,12.0,0.0185185185185185,2.5,0.740741
74,58.7808,58.7808,22,8,0,38,3,1021,3,2,0,1,42.8721,26.6371,111,118,6,5,3,0.4111111111111111,94.07,270,4,290,269.0,6,0.0,0.0,20.0,5.0,0.0,47.0,7.0,1023.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.860465
75,24.3925,24.3925,22,8,0,38,3,1021,3,2,0,1,24.3457,20.5678,42,60,2,1,4,0.1555555555555555,70.0,270,4,290,269.0,6,0.0,0.0,20.0,5.0,0.0,47.0,7.0,1023.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.888889
76,31.4101,31.4101,22,8,0,38,3,1021,3,2,0,1,33.7178,37.5745,35,35,4,0,5,0.1296296296296296,100.0,270,4,290,269.0,6,122.804,122.804,20.0,5.0,0.0,47.0,7.0,1023.0,3.0,0.0,27.8866,34.7477,29.0,36.0,0.1074074074074074,4.83,0.75
77,33.3753,47.0303,22,8,0,38,3,1021,3,2,0,1,34.1474,29.6167,28,21,3,0,6,0.1037037037037037,133.33,270,4,290,269.0,6,0.0,0.0,20.0,5.0,0.0,47.0,7.0,1023.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.857143
