,balls,maidens,runs,wickets,dots,fours,sixes,econ,wides,no_balls,player_consistency,player_form,temp,wind,rain,humidity,cloud,pressure,viscosity,result,inning,bowling_session,toss,venue,opposition,season,bowling_performance
192,36,0,46,1,7,2,0,7.67,2,0,0.0,0.014247207,0.021513779,0.013690587,0.0,0.080187721,0.094856207,0.991589623,0.002933697,-1,2,0,1,0.014763635,0.015569815,4,3
193,24,0,34,1,8,4,1,8.5,0,0,0.102224772,0.025115731,0.021393463,0.013614022,0.0,0.07973927,0.094325722,0.986044149,0.00291729,-1,2,0,1,0.010328472,0.024946528,4,1
194,12,0,18,1,6,4,0,9.0,0,0,0.119153064,0.002860066,0.021345945,0.013583783,0.0,0.079562158,0.094116211,0.983853999,0.002910811,-1,2,0,1,0.005422743,0.044267705,4,4
195,24,0,29,0,8,1,1,7.25,1,0,0.248576079,0.026639521,0.015975387,0.009397286,0.0,0.06202209,0.038528874,0.964161582,0.002819186,1,1,0,0,0.009327559,0.046076305,4,1
196,54,0,39,1,30,4,0,4.33,0,0,0.372003418,0.039861957,0.015298191,0.008998936,0.0,0.059392978,0.036895638,0.92329084,0.002699681,1,1,0,0,0.016498469,0.045554234,4,0
197,48,0,41,1,27,5,0,5.13,2,0,0.498970643,0.034406773,0.01427754,0.008398553,0.0,0.055430451,0.034434068,0.861691557,0.002519566,1,1,0,0,0.015347936,0.050572728,4,0
198,47,0,43,3,21,4,0,5.49,1,0,0.269779135,0.019203724,0.015889154,0.009346561,0.0,0.061687302,0.0383209,0.958957152,0.002803968,1,1,0,0,0.007021669,0.039759429,4,3
199,54,0,43,3,26,2,1,4.78,1,0,0.101552437,0.024950544,0.016422585,0.009660344,0.0,0.063758272,0.039607411,0.991151317,0.002898103,1,1,0,0,0.008011391,0.024782454,4,0
200,36,0,31,2,19,1,2,5.17,1,0,0.11836423,0.002841131,0.016385394,0.009638467,0.0,0.063613882,0.039517715,0.988906716,0.00289154,1,1,0,0,0.011552377,0.043974638,4,1
201,12,0,13,0,2,0,0,6.5,0,0,0.325446333,0.032157732,0.015593451,0.009172618,0.0,0.060539281,0.037607735,0.941110642,0.002751786,1,1,0,0,0.004488529,0.043897216,4,4
202,6,0,4,0,5,1,0,4.0,0,0,0.327323508,0.032343218,0.019373605,0.005535316,0.000922553,0.058120814,0.061811024,0.939158547,0.002767658,1,2,0,0,0.015234296,0.044150415,4,4
203,60,1,54,2,29,5,1,5.4,1,0,0.501449388,0.034577696,0.017724577,0.005064165,0.000844027,0.053173731,0.056549841,0.859219977,0.002532082,1,2,0,0,0.011772411,0.050823959,4,2
204,60,1,40,0,39,5,0,4.0,3,0,0.373841315,0.040058897,0.018991131,0.005426037,0.00090434,0.056973393,0.060590751,0.920617676,0.002713019,1,2,0,0,0.041107388,0.045779297,4,0
205,60,0,62,2,27,8,0,6.2,1,0,0.271411307,0.019319908,0.019746527,0.005641865,0.000940311,0.05923958,0.063000823,0.957236387,0.002820932,1,2,0,0,0.012333492,0.039999975,4,2
206,60,0,40,2,28,2,0,4.0,0,0,0.119133214,0.002859589,0.02037228,0.005820651,0.000970109,0.06111684,0.064997275,0.98757053,0.002910326,1,2,0,0,0.011239969,0.044260331,4,0
207,48,0,33,0,16,0,0,4.13,0,0,0.102205577,0.025111015,0.020417198,0.005833485,0.000972248,0.061251594,0.065140584,0.989747983,0.002916743,1,2,0,0,0.015649102,0.024941844,4,3
208,6,0,9,0,0,1,0,9.0,0,0,0.0,0.002764778,0.02053997,0.005868563,0.000978094,0.061619909,0.065532284,0.995699481,0.002934281,1,2,0,0,0.002869336,0.003045491,4,4
209,23,0,36,0,12,6,1,9.39,0,0,0.37846587,0.04055444,0.013732899,0.010986319,0.0,0.071411073,0.076904232,0.91735763,0.00274658,-1,1,1,0,0.00976464,0.046345603,4,1
210,30,0,28,0,20,5,0,5.6,3,0,0.506492793,0.034925466,0.012787746,0.010230197,0.0,0.066496281,0.071611379,0.854221453,0.002557549,-1,1,1,0,0.009539744,0.051335129,4,1
211,12,0,12,0,9,3,0,6.0,0,0,0.274792148,0.019560566,0.014280357,0.011424286,0.0,0.074257856,0.079969999,0.953927841,0.002856071,-1,1,1,0,0.01536871,0.040498235,4,4
212,18,0,22,0,7,3,0,7.33,0,0,0.331279271,0.032734092,0.014005527,0.011204422,0.0,0.072828741,0.078430952,0.935569217,0.002801105,-1,1,1,0,0.01054168,0.044683981,4,4
213,30,0,32,0,12,2,1,6.4,0,0,0.103578959,0.025448443,0.014779681,0.011823745,0.0,0.07685434,0.082766212,0.987282675,0.002955936,-1,1,1,0,0.011573968,0.025276998,4,1
214,18,0,21,0,7,3,0,7.0,1,0,0.25327556,0.027143158,0.014362422,0.011489937,0.0,0.074684592,0.080429561,0.959409764,0.002872484,-1,1,1,0,0.007094653,0.046947405,4,4
215,12,0,20,0,4,2,1,10.0,0,0,0.120725641,0.002897813,0.014746137,0.01179691,0.0,0.076679912,0.082578367,0.985041953,0.002949227,-1,1,1,0,0.005767804,0.044851949,4,4
