performance,batting_position,player_name,temp,wind,rain,humidity,cloud,pressure,viscosity,inning,batting_session,toss,venue_name,opposition_name
poor,9,Nuwan Kulasekara,26,9,1,88,26,1012,Excellent,inning1,day,won,"Mahinda Rajapaksa International Cricket Stadium, Sooriyawewa, Hambantota",Canada
good,1,Upul Tharanga,26,3,0,82,12,1011,Excellent,inning2,night,lost,"R.Premadasa Stadium, Khettarama, Colombo",Pakistan
good,2,Tillakaratne Dilshan,26,3,0,82,12,1011,Excellent,inning2,night,lost,"R.Premadasa Stadium, Khettarama, Colombo",Pakistan
good,3,Kumar Sangakkara,26,3,0,82,12,1011,Excellent,inning2,night,lost,"R.Premadasa Stadium, Khettarama, Colombo",Pakistan
poor,4,Mahela Jayawardene,26,3,0,82,12,1011,Excellent,inning2,night,lost,"R.Premadasa Stadium, Khettarama, Colombo",Pakistan
poor,5,Thilan Samaraweera,26,3,0,82,12,1011,Excellent,inning2,night,lost,"R.Premadasa Stadium, Khettarama, Colombo",Pakistan
good,6,Chamara Silva,26,3,0,82,12,1011,Excellent,inning2,night,lost,"R.Premadasa Stadium, Khettarama, Colombo",Pakistan
poor,7,Angelo Mathews,26,3,0,82,12,1011,Excellent,inning2,night,lost,"R.Premadasa Stadium, Khettarama, Colombo",Pakistan
poor,8,Thisara Perera,26,3,0,82,12,1011,Excellent,inning2,night,lost,"R.Premadasa Stadium, Khettarama, Colombo",Pakistan
good,9,Nuwan Kulasekara,26,3,0,82,12,1011,Excellent,inning2,night,lost,"R.Premadasa Stadium, Khettarama, Colombo",Pakistan
poor,10,Rangana Herath,26,3,0,82,12,1011,Excellent,inning2,night,lost,"R.Premadasa Stadium, Khettarama, Colombo",Pakistan
poor,11,Muttiah Muralitharan,26,3,0,82,12,1011,Excellent,inning2,night,lost,"R.Premadasa Stadium, Khettarama, Colombo",Pakistan
best,1,Upul Tharanga,26,18,1,75,22,1010,Excellent,inning2,night,lost,"R.Premadasa Stadium, Khettarama, Colombo",Kenya
good,2,Tillakaratne Dilshan,26,18,1,75,22,1010,Excellent,inning2,night,lost,"R.Premadasa Stadium, Khettarama, Colombo",Kenya
good,3,Kumar Sangakkara,26,18,1,75,22,1010,Excellent,inning2,night,lost,"R.Premadasa Stadium, Khettarama, Colombo",Kenya
poor,1,Upul Tharanga,28,12,0,72,20,1009,Excellent,inning1,day,won,"R.Premadasa Stadium, Khettarama, Colombo",Australia
poor,2,Tillakaratne Dilshan,28,12,0,72,20,1009,Excellent,inning1,day,won,"R.Premadasa Stadium, Khettarama, Colombo",Australia
good,3,Kumar Sangakkara,28,12,0,72,20,1009,Excellent,inning1,day,won,"R.Premadasa Stadium, Khettarama, Colombo",Australia
poor,4,Mahela Jayawardene,28,12,0,72,20,1009,Excellent,inning1,day,won,"R.Premadasa Stadium, Khettarama, Colombo",Australia
poor,5,Thilan Samaraweera,28,12,0,72,20,1009,Excellent,inning1,day,won,"R.Premadasa Stadium, Khettarama, Colombo",Australia
best,1,Upul Tharanga,30,5,0,45,0,1008,Excellent,inning1,day,lost,Pallekele International Cricket Stadium,Zimbabwe
best,2,Tillakaratne Dilshan,30,5,0,45,0,1008,Excellent,inning1,day,lost,Pallekele International Cricket Stadium,Zimbabwe
