"balls","maidens","runs","wickets","dots","fours","sixes","econ","wides","no_balls","player_name","temp","feels","gust","wind","rain","humidity","cloud","pressure","viscosity","inning","result","bowling_session","toss","venue_name","opposition_name","season_id"
"42","1","39","0","22","2","1","5.57","0","0","Jeevan Mendis","30","36","7","6","0","65","40","1011","Excellent","inning2","won","day","lost","R.Premadasa Stadium, Khettarama, Colombo","England","11"
"54","0","56","3","23","3","2","6.22","1","0","Ajantha Mendis","30","36","7","6","0","65","40","1011","Excellent","inning2","won","day","lost","R.Premadasa Stadium, Khettarama, Colombo","England","11"
"55","0","45","1","34","6","1","4.91","0","0","Tillakaratne Dilshan","22","22","5","3","0","93","37","1012","Excellent","inning1","lost","night","lost","Pallekele International Cricket Stadium","England","11"
"60","0","35","2","33","1","0","3.5","0","0","Sachithra Senanayake","22","22","5","3","0","93","37","1012","Excellent","inning1","lost","night","lost","Pallekele International Cricket Stadium","England","11"
"24","0","14","0","14","1","0","3.5","0","0","Angelo Mathews","22","22","5","3","0","93","37","1012","Excellent","inning1","lost","night","lost","Pallekele International Cricket Stadium","England","11"
"24","0","24","0","14","4","0","6","2","0","Dhammika Prasad","22","22","5","3","0","93","37","1012","Excellent","inning1","lost","night","lost","Pallekele International Cricket Stadium","England","11"
"42","0","41","0","16","4","0","5.86","0","0","Jeevan Mendis","22","22","5","3","0","93","37","1012","Excellent","inning1","lost","night","lost","Pallekele International Cricket Stadium","England","11"
"54","0","49","1","21","1","1","5.44","0","1","Ajantha Mendis","22","22","5","3","0","93","37","1012","Excellent","inning1","lost","night","lost","Pallekele International Cricket Stadium","England","11"
"36","0","26","1","16","1","0","4.33","0","0","Thisara Perera","22","22","5","3","0","93","37","1012","Excellent","inning1","lost","night","lost","Pallekele International Cricket Stadium","England","11"
"51","0","33","3","32","2","1","3.88","1","0","Sachithra Senanayake","24","26","10","6","0","86","64","1011","Excellent","inning1","won","day","won","Pallekele International Cricket Stadium","England","11"
"60","0","55","2","31","4","2","5.5","0","0","Tillakaratne Dilshan","24","26","10","6","0","86","64","1011","Excellent","inning1","won","day","won","Pallekele International Cricket Stadium","England","11"
"48","0","40","0","21","3","0","5","0","0","Seekkuge Prasanna","24","26","10","6","0","86","64","1011","Excellent","inning1","won","day","won","Pallekele International Cricket Stadium","England","11"
"48","0","30","4","32","4","0","3.75","0","0","Suranga Lakmal","24","26","10","6","0","86","64","1011","Excellent","inning1","won","day","won","Pallekele International Cricket Stadium","England","11"
"24","0","22","0","12","3","0","5.5","0","0","Jeevan Mendis","24","26","10","6","0","86","64","1011","Excellent","inning1","won","day","won","Pallekele International Cricket Stadium","England","11"
"18","0","21","0","6","2","0","7","0","0","Thisara Perera","24","26","10","6","0","86","64","1011","Excellent","inning1","won","day","won","Pallekele International Cricket Stadium","England","11"
"54","0","53","1","29","4","2","5.89","1","0","Dilruwan Perera","26","30","3","2","0","86","25","1012","Excellent","inning1","won","night","won","R.Premadasa Stadium, Khettarama, Colombo","England","11"
"60","0","37","3","28","0","0","3.7","1","0","Tillakaratne Dilshan","26","30","3","2","0","86","25","1012","Excellent","inning1","won","night","won","R.Premadasa Stadium, Khettarama, Colombo","England","11"
"48","1","25","2","32","2","0","3.13","0","0","Suranga Lakmal","26","30","3","2","0","86","25","1012","Excellent","inning1","won","night","won","R.Premadasa Stadium, Khettarama, Colombo","England","11"
"18","0","22","0","5","3","0","7.33","0","0","Thisara Perera","26","30","3","2","0","86","25","1012","Excellent","inning1","won","night","won","R.Premadasa Stadium, Khettarama, Colombo","England","11"
"12","0","3","0","9","0","0","1.5","0","0","Angelo Mathews","26","30","3","2","0","86","25","1012","Excellent","inning1","won","night","won","R.Premadasa Stadium, Khettarama, Colombo","England","11"
