,batting_consistency,batting_form,batting_temp,batting_wind,batting_humidity,batting_cloud,batting_pressure,venue,opposition,season
287,31.4101,0.0,17,18,74,88,1018,17.6346,15.8399,11
288,0.0,0.0,24,17,61,11,1013,0.2566,11.8834,19
289,9.12361,8.19506,26,12,40,2,1017,0.2566,9.11827,19
290,26.6919,0.0,15,16,82,44,1024,22.4019,22.268,11
291,58.7808,19.0946,22,12,77,19,1009,24.4179,28.0959,8
292,40.9425,0.0,25,13,55,13,1010,36.0828,30.3805,15
293,28.3833,31.128,11,14,97,100,1015,0.2566,17.1691,10
294,13.5961,0.0,27,23,80,47,1010,6.46479,5.57108,4
295,40.9425,35.6938,28,33,74,12,1010,47.3903,31.3904,16
296,72.1185,29.9567,29,11,28,6,1009,33.2063,40.4249,5
297,50.1772,39.2129,16,33,81,100,1009,31.674,20.7544,14
298,72.1185,27.4201,19,14,67,23,1019,58.3312,72.8941,11
299,55.6003,29.6249,33,12,55,0,1005,17.1148,28.2395,18
300,74.1419,42.7845,27,10,85,35,1011,41.6468,34.9702,3
301,0.0,41.611,30,31,67,9,1008,26.1601,25.1761,21
302,42.0114,23.417,29,11,36,0,1012,27.9934,24.8272,17
303,50.1772,52.3959,29,13,27,0,1011,33.843,32.4414,17
304,31.4101,16.9737,29,17,73,31,1007,45.4385,37.5745,6
305,24.9177,15.6122,33,18,51,0,1010,21.9917,16.5566,17
306,40.9425,27.4428,23,12,92,100,1011,31.6402,38.6669,19
307,0.0,0.0,17,22,68,10,1011,0.2566,34.0449,4
308,62.9666,21.0727,26,6,74,2,1013,21.0859,29.9183,11
309,75.4504,25.5084,32,15,47,0,1006,36.7637,28.4227,3
310,72.1185,35.4967,26,19,75,28,1006,35.104,30.6193,6
311,75.4504,28.7134,29,17,73,31,1007,44.097,45.2291,6
312,58.7808,19.0946,28,17,74,28,1007,39.512,28.0959,8
313,55.6003,2.2035,31,10,62,0,1006,17.1148,24.3489,17
314,62.9666,42.961,27,10,33,12,1009,34.4715,40.7923,17
315,58.7808,24.2897,16,33,81,100,1009,29.5476,36.1303,14
316,50.1772,52.3959,30,10,32,0,1012,33.843,32.5809,17
317,42.0114,0.0,26,16,72,17,1010,17.257,30.1287,14
318,58.7808,0.0,23,12,92,100,1011,35.7043,36.1303,19
319,40.9425,32.8603,31,10,62,0,1006,31.0462,23.2475,17
320,38.8512,0.0,21,29,62,3,1014,29.6447,24.6084,13
321,55.6003,30.2003,31,15,28,9,1012,44.0018,36.2503,9
322,55.6003,20.5994,30,16,63,25,1009,30.1117,14.1388,3
323,35.5758,20.1306,23,10,64,24,1013,7.37123,19.761,9
324,62.9666,17.1701,22,12,77,19,1009,32.0613,27.935,8
325,55.6003,21.5397,26,25,82,10,1011,33.593,24.3489,10
326,74.1419,30.646,27,10,86,34,1012,41.6468,30.6374,13
327,31.4101,9.25055,16,6,74,42,1022,43.8017,42.6865,4
328,72.1185,27.4201,27,26,76,35,1009,56.1313,45.8996,11
329,72.1185,32.2675,23,17,74,27,1018,16.2491,35.9733,3
330,62.9666,41.4826,27,23,80,47,1010,37.8024,24.5258,4
331,72.1185,29.9567,27,13,70,0,1014,23.1046,30.6193,5
332,24.5617,10.5895,26,4,91,37,1010,45.1918,22.1743,2
333,72.1185,32.2675,26,3,82,12,1011,56.1313,30.6193,3
334,42.0114,0.0,27,17,87,67,1007,39.8244,30.1287,14
335,24.5617,21.7959,29,17,72,25,1007,25.4465,17.7695,4
336,22.8727,17.8463,27,20,83,80,1008,22.8542,17.6027,18
337,26.8548,23.4509,23,7,48,22,1012,37.8991,49.7397,15
338,33.1031,24.6616,29,8,79,23,1011,37.6255,30.2476,19
339,75.4504,23.3196,27,18,78,29,1006,44.097,30.9742,8
340,53.017,27.8325,28,19,79,22,1008,38.4293,26.5756,10
341,35.5758,10.8469,30,13,29,5,1012,16.5791,11.1306,19
342,55.6003,39.3634,16,28,75,63,1019,13.2255,24.3489,16
343,58.7808,19.5385,26,3,84,40,1010,21.3394,16.2816,9
344,22.7797,36.675,16,18,57,24,1018,22.5684,25.4638,20
345,38.8512,18.3955,24,2,78,0,1011,15.3356,28.3739,5
346,75.4504,29.2227,18,10,68,0,1010,0.2566,30.9742,5
347,50.1772,11.9432,31,15,28,9,1012,33.843,32.2803,9
348,60.1022,33.0075,21,9,53,33,1015,35.5665,31.1885,5
349,38.8512,0.0,33,9,57,21,1012,15.8156,13.4982,15
350,36.6786,15.4675,30,31,67,24,1008,53.6307,42.4493,16
351,58.7808,24.2897,20,16,71,34,1016,14.5998,36.1303,14
352,31.1971,0.0,27,3,90,84,1010,39.7771,23.0939,14
353,36.6786,26.3427,27,3,63,56,1010,17.2621,20.0408,15
354,75.4504,34.7628,24,1,89,53,1010,24.8153,40.6557,11
355,75.4504,33.0998,23,0,94,58,1011,24.8153,28.4227,7
356,55.6003,31.0477,15,5,65,34,1018,6.72327,8.87793,20
357,74.1419,31.9593,27,12,84,78,1007,41.6468,32.0341,14
358,28.35,0.0,22,13,86,64,1019,24.1711,24.0992,19
359,0.0,0.0,24,17,61,11,1013,0.2566,20.3058,19
360,19.8964,14.5461,24,18,90,73,1013,17.6516,12.1846,5
361,75.4504,25.5084,27,6,86,14,1011,44.097,28.4227,3
362,35.5758,19.5525,15,14,83,100,1003,21.7435,4.81463,20
363,42.0114,25.1647,29,16,77,22,1009,39.8244,34.154,20
364,75.4504,0.0,15,14,83,100,1003,17.3307,25.0865,20
365,72.1185,32.2675,30,15,61,0,1008,50.0718,38.9143,3
366,31.1971,23.1603,18,22,83,4,1014,14.7756,23.233,15
367,38.8512,0.0,23,15,80,2,1011,14.8246,16.2546,15
368,36.6786,0.0,27,10,86,34,1012,10.8113,15.4382,13
369,58.7808,24.2897,27,12,84,78,1007,39.512,34.9796,14
370,24.9177,3.19997,26,6,74,2,1013,8.35906,16.2269,11
371,38.8512,27.9157,15,18,65,78,1013,24.4268,15.1969,8
372,72.1185,43.848,17,22,68,10,1011,24.186,45.8996,4
373,26.6919,0.0,18,23,61,90,1013,58.3965,55.2149,20
374,60.1022,22.2231,23,9,86,21,1012,23.4835,18.3368,8
375,62.9666,0.0,13,23,75,54,1002,18.2412,20.8176,10
376,58.7808,19.6565,28,7,66,45,1012,24.4179,36.1303,11
377,23.6093,12.9657,19,17,59,19,1015,6.63247,12.9016,16
378,53.017,26.611,26,22,70,33,1006,36.338,32.3246,6
379,53.017,26.611,26,24,81,14,1010,24.789,30.3221,6
380,74.1419,35.0819,27,26,76,35,1009,41.6468,34.9702,11
381,31.4101,0.0,15,5,65,34,1018,43.8017,42.6865,20
382,0.0,0.0,28,5,32,2,1012,29.4535,16.5064,9
383,0.0,0.0,18,10,68,0,1010,0.2566,0.2238,5
384,74.1419,42.7845,30,15,61,0,1008,15.8621,38.0494,3
385,55.6003,29.4999,17,18,74,88,1018,24.3687,27.4572,11
386,23.6093,12.9477,20,16,71,34,1016,13.2751,14.8703,14
387,29.7883,0.0,18,22,83,4,1014,36.2082,28.8279,15
388,31.4101,9.25055,17,17,92,98,1015,13.4476,27.5218,4
389,53.017,27.8325,14,11,74,78,1015,37.7661,43.3932,10
390,74.1419,35.0819,18,27,82,2,1018,32.5604,40.629,11
391,27.4905,26.5605,27,28,80,39,1009,35.9189,24.1114,10
392,50.1772,39.2129,26,16,72,17,1010,36.2459,24.8669,14
393,58.7808,0.0,17,20,66,78,1002,14.5998,36.1303,4
394,75.4504,28.2781,22,26,33,0,1023,25.3302,38.4666,9
395,55.6003,29.6249,22,9,85,28,1009,32.0968,31.866,18
396,24.3925,0.0,23,5,92,21,1010,28.4033,20.849,2
