economy,deliveries,wickets_taken,bowling_consistency,bowling_form,bowling_temp,bowling_wind,bowling_rain,bowling_humidity,bowling_cloud,bowling_pressure,bowling_viscosity,batting_inning,bowling_session,toss,bowling_venue,bowling_opposition,season
3.36,50,5,594.115,40.9675,26,25,0,84,44,1010,3,1,1,0,48.2943,79.1412,4
5.0,60,1,413.386,44.2963,26,25,0,84,44,1010,3,1,1,0,31.8562,70.4721,4
5.43,42,2,62.9346,0.0,26,25,0,84,44,1010,3,1,1,0,8.8894,20.4351,4
3.9,60,0,264.519,28.3481,26,25,0,84,44,1010,3,1,1,0,100.306,64.7436,4
5.0,6,0,122.804,2.9477,26,25,0,84,44,1010,3,1,1,0,9.70423,63.9574,4
4.75,48,1,183.552,30.9946,26,25,0,84,44,1010,3,1,1,0,27.5644,34.103,4
2.57,42,2,594.115,40.9675,27,11,2,82,27,1009,3,1,1,1,60.7292,79.1412,4
4.43,42,0,183.552,30.9946,27,11,2,82,27,1009,3,1,1,1,41.3512,34.103,4
8.5,12,0,264.519,28.3481,27,11,2,82,27,1009,3,1,1,1,46.1399,64.7436,4
6.5,12,0,413.386,44.2963,27,11,2,82,27,1009,3,1,1,1,33.4576,70.4721,4
4.0,24,0,62.9346,0.0,27,11,2,82,27,1009,3,1,1,1,20.2162,20.4351,4
5.33,36,3,160.701,0.0,27,11,2,82,27,1009,3,1,1,1,17.8201,27.2504,4
4.38,48,3,594.115,40.9675,28,18,5,72,50,1008,2,2,0,1,60.7292,79.1412,4
5.63,48,2,62.9346,0.0,28,18,5,72,50,1008,2,2,0,1,20.2162,20.4351,4
3.7,60,1,160.701,0.0,28,18,5,72,50,1008,2,2,0,1,17.8201,27.2504,4
2.0,18,1,354.802,35.0584,28,18,5,72,50,1008,2,2,0,1,61.955,48.0335,4
4.38,48,0,122.804,2.9477,28,18,5,72,50,1008,2,2,0,1,38.9943,63.9574,4
5.35,55,3,183.552,30.9946,28,18,5,72,50,1008,2,2,0,1,41.3512,34.103,4
7.0,30,0,594.115,35.7155,26,15,0,48,0,1016,3,1,1,1,22.7031,92.8711,5
4.0,24,2,288.64,20.5463,26,15,0,48,0,1016,3,1,1,1,16.3982,52.63,5
6.0,35,0,58.5243,0.0,26,15,0,48,0,1016,3,1,1,1,32.3012,27.5632,5
5.75,24,0,160.701,12.3917,26,15,0,48,0,1016,3,1,1,1,29.5789,59.0551,5
5.67,18,0,0.0,0.0,26,15,0,48,0,1016,3,1,1,1,6.8532,7.2407,5
4.0,54,3,594.115,35.7155,26,13,0,59,0,1015,3,1,1,1,22.7031,92.8711,5
3.33,54,2,441.988,11.4232,26,13,0,59,0,1015,3,1,1,1,26.7226,80.4983,5
6.0,54,2,58.5243,0.0,26,13,0,59,0,1015,3,1,1,1,32.3012,27.5632,5
4.0,57,0,160.701,12.3917,26,13,0,59,0,1015,3,1,1,1,29.5789,59.0551,5
3.0,6,0,264.519,78.6259,26,13,0,59,0,1015,3,1,1,1,23.7837,50.4942,5
