Name;Overs;Maidens;Runs;Wickets;Econ;Dots;4s;6s;Wd;Nb;Match_Id
Lasith Malinga;8;0;55;2;6.88;20;5;0;2;0;518963
Nuwan Kulasekara;9;0;40;3;4.44;32;4;0;4;0;518963
Farveez Maharoof;10;1;52;1;5.20;31;5;0;0;0;518963
Angelo Mathews;4;0;12;0;3.00;15;0;0;0;0;518963
Thisara Perera;7.1;0;37;4;5.16;22;3;0;1;0;518963
Rangana Herath;7;0;35;0;5.00;13;1;0;1;0;518963
Lasith Malinga;10;0;56;1;5.60;30;4;0;2;0;518964
Nuwan Kulasekara;10;0;59;1;5.90;29;5;1;0;0;518964
Farveez Maharoof;10;0;40;1;4.00;40;2;2;0;0;518964
Rangana Herath;9;0;45;1;5.00;27;2;2;0;0;518964
Angelo Mathews;7;0;43;2;6.14;16;3;1;0;0;518964
Thisara Perera;4;0;35;0;8.75;10;3;2;1;0;518964
Lasith Malinga;7.4;0;96;1;12.52;11;15;2;2;0;518966
Nuwan Kulasekara;8;0;71;0;8.88;17;11;0;1;0;518966
Farveez Maharoof;3;0;21;1;7.00;8;3;0;0;0;518966
Thisara Perera;7;0;59;0;8.43;9;3;1;1;0;518966
Angelo Mathews;7;0;44;0;6.29;13;1;1;0;0;518966
Rangana Herath;4;0;20;0;5.00;7;0;0;1;0;518966
Lasith Malinga;10;0;49;4;4.90;32;2;0;3;0;518967
Nuwan Kulasekara;9.1;1;38;2;4.15;36;5;0;1;0;518967
Angelo Mathews;4;0;8;0;2.00;18;0;0;0;0;518967
Sachithra Senanayake;10;0;50;1;5.00;32;4;0;2;0;518967
Thisara Perera;0.5;0;8;0;9.60;0;1;0;0;0;518967
Lahiru Thirimanne;4.1;0;25;1;6.00;8;1;0;0;0;518967
Rangana Herath;10;0;43;1;4.30;34;1;1;2;1;518967
Tillakaratne Dilshan;1;0;8;0;8.00;3;1;0;1;0;518967
Lasith Malinga;8;0;74;1;9.25;20;6;3;3;0;518968
Nuwan Kulasekara;10;0;60;1;6.00;29;6;0;1;0;518968
Farveez Maharoof;9;0;64;1;7.11;23;8;0;0;0;518968
Tillakaratne Dilshan;9;0;35;0;3.89;25;0;0;0;0;518968
Dhammika Prasad;7;0;51;2;7.29;19;4;2;0;0;518968
Rangana Herath;7;0;36;1;5.14;17;1;0;1;0;518968
Tillakaratne Dilshan;10;0;40;1;4.00;31;1;0;0;0;518969
Nuwan Kulasekara;10;0;57;0;5.70;22;3;0;1;0;518969
Lasith Malinga;10;1;40;3;4.00;32;2;0;0;0;518969
Farveez Maharoof;10;0;71;0;7.10;25;5;3;0;1;518969
Rangana Herath;10;0;58;0;5.80;20;1;2;1;0;518969
Tillakaratne Dilshan;10;1;41;1;4.10;34;2;1;1;0;518970
Nuwan Kulasekara;9.3;0;40;2;4.21;36;3;1;1;0;518970
Lasith Malinga;10;0;69;0;6.90;27;8;0;1;0;518970
